Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page,Column_18,Column_19,Column_20,Column_21
=== TABLE 1: Pages 1-8 ===,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,105,105,,105,105,,145,,4,,,,
,,,53,2,98,126,112,,,,,105,,,145,,,4,,,,
,,,,50,31,261,128,55,89,99,111,125,138,152,171,201,,4,,,,
,,,35,75,65,421,142,92,98,105,119,132,143,160,,211,,4,,,,
,,,56,34,62,319,153,79,89,108,118,130,150,171,213,278,,4,,,,
,,,57,26,50,228,105,65,80,85,89,97,105,112,123,154,,4,,,,
,,,57,187,31,421,135,78,91,100,110,123,137,154,173,211,,4,,,,
,COLUMBUS GA,,57,27,37,209 2091102,102,55,65,72,89,101,110,123,136,145,,4,,,,
,,,,,,,,,,,60,65,76,,105,145,,4,,,,
,,,57,24,15,198,76,21,49,53,,,,86,,,,4,,,,
,COLUMBIA,,57,24,55,209,,65,84,89,95,99,103,132,141,171,,4,,,,
,GREENVILLE sc,,57,29,46,285,107,58,65,76,86,94,100,123,145,171,,4,,,,
,CHATTANOOGA TENN,,,10,52,283 2831180,180,55,89,123,145,201,236,250,264,278,,4,,,,
,,,,10,115,350,227,114,123,145,171,236,257,278,327,356,,4,,,,
,,,54 55,20,52,350,203,89,117,134,171,219,244,261,278,327,,4,,,,
,,,54,32,,336,107,32,40,55,72,100,123,136,162,191,,4,,,,
,,,55,10,35,214,89,40,47,65,71,76,83,89,105,145,,4,,,,
,,,,42,25,336,102,33,42,60,72,89,105,130,154,191,,4,,,,
,,,,30,33,237,118,58,67,72,93,105,119,145,183,,,4,,,,
,,,56,24,,264,151,80,105,117,134,145,155,171,191,250,,4,,,,
,,,57,13,64,565,175,65,83,89,94,105,158,171,236,327,,4,,,,
,,,55 57,67,33,565,141,66,75,91,105,123,145,168,194,236,,4,,,,
,,,55,35,91,535,230,129,145,166,181,201,227,286,311,408,,4,,,,
,,,56,24,92,644,255,145,181,201,,236,253,278,303,385,,4,,,,
,,,57,18 184120,120,385,219,145,158,165,179,194,219,278,294,327,,4,,,,
,,,57,717 77,91,644,235,134,154,173,192,214,236,278,308,356,,4,,,,
,,,54,42,25,336 3361124,124,33,47,69,94,117,134,154,194,250,,4,,,,
,,,55,85,33,535,174,66,83,110,129,156,182,210,253,320,,4,,,,
,,,56,48,71,644,203,97,127,145,164,186,213,241,262,,,4,,,,
,,,57,31,,565,200,83,100,145,158,179,201,236,290,327,,4,,,,
,,,54,206,25,644,174,65,87,112,135,159,185,210,252,306,,4,,,,
,KNOXVILLE TENN,,57,26,68,245,136,80,B89,108,114,123,140,152,,219,,4,,,,
,,,,26,71,317,,83,92,99,111,127,141,155,166,191,,4,,,,
,CHICAGO,,54,,44,678 6781250,250,94,111,134,171,219,257,294,346,564,,4,,,,
,,,55,61,31,594,241,94,129,156,186,226,270,303,342,419,,4,,,,
,,,56,11 111146,146,626,321,158,171,201,257,303,327,419,453,533,,4,,,,
,,,54 56,105,31,678,252,95,130,159,190,232,270,304,352,445,,4,,,,
,,,54,33,104,865,322,145,194,224,250,278,344,368,408,564,,4,,,,
,,,55,49,106,641,312,171,236,252,268,289,311,346,402,,,4,,,,
